speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Mrs Sharon Hodgson,Lab,Washington and Gateshead South,Neutral or unclear,,10:59:09,2026-09-04T09:59:09Z,2026-09-04T10:01:03Z,114,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-870B4FA2-FBD4-40E2-9245-30ED48511EC0
Mrs Sharon Hodgson,Lab,Washington and Gateshead South,Neutral or unclear,,10:56:37,2026-09-04T09:56:37Z,2026-09-04T09:57:15Z,38,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-870B4FA2-FBD4-40E2-9245-30ED48511EC0
Mrs Sharon Hodgson,Lab,Washington and Gateshead South,Neutral or unclear,,10:57:15,2026-09-04T09:57:15Z,2026-09-04T09:57:32Z,17,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-870B4FA2-FBD4-40E2-9245-30ED48511EC0
Mrs Sharon Hodgson,Lab,Washington and Gateshead South,Neutral or unclear,,11:07:09,2026-09-04T10:07:09Z,2026-09-04T10:09:28Z,139,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-870B4FA2-FBD4-40E2-9245-30ED48511EC0
Pam Cox,Lab,Colchester,Neutral or unclear,,10:55:50,2026-09-04T09:55:50Z,2026-09-04T09:55:56Z,6,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-857CF9CD-4436-413D-931E-084C78307616
Pam Cox,Lab,Colchester,Neutral or unclear,,12:07:47,2026-09-04T11:07:47Z,2026-09-04T11:08:16Z,29,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-857CF9CD-4436-413D-931E-084C78307616
Pam Cox,Lab,Colchester,Neutral or unclear,,13:05:31,2026-09-04T12:05:31Z,2026-09-04T12:05:49Z,18,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-857CF9CD-4436-413D-931E-084C78307616
Alex Brewer,LD,North East Hampshire,Neutral or unclear,,11:09:28,2026-09-04T10:09:28Z,2026-09-04T10:14:50Z,322,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-2F1643BA-7C93-458A-A6F4-45108ED750CC
Michelle Welsh,Lab,Sherwood Forest,Neutral or unclear,,11:14:50,2026-09-04T10:14:50Z,2026-09-04T10:19:55Z,305,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DD64CB93-AECC-471E-9F20-DD46261CC24C
Michelle Welsh,Lab,Sherwood Forest,Neutral or unclear,,11:22:40,2026-09-04T10:22:40Z,2026-09-04T10:27:58Z,318,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DD64CB93-AECC-471E-9F20-DD46261CC24C
Iqbal Mohamed,Ind,Dewsbury and Batley,Neutral or unclear,,11:32:34,2026-09-04T10:32:34Z,2026-09-04T10:33:05Z,31,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-9EF4C3C4-07DA-4983-B88F-ACBEA724F3B9
Iqbal Mohamed,Ind,Dewsbury and Batley,Neutral or unclear,,09:30:00,2026-09-04T08:30:00Z,2026-09-04T08:30:39Z,39,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-9EF4C3C4-07DA-4983-B88F-ACBEA724F3B9
Iqbal Mohamed,Ind,Dewsbury and Batley,Neutral or unclear,,12:48:56,2026-09-04T11:48:56Z,2026-09-04T11:51:45Z,169,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-9EF4C3C4-07DA-4983-B88F-ACBEA724F3B9
Iqbal Mohamed,Ind,Dewsbury and Batley,Neutral or unclear,,12:59:36,2026-09-04T11:59:36Z,2026-09-04T12:02:29Z,173,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-9EF4C3C4-07DA-4983-B88F-ACBEA724F3B9
Iqbal Mohamed,Ind,Dewsbury and Batley,Neutral or unclear,,09:30:00,2026-09-04T08:30:00Z,2026-09-04T08:32:22Z,142,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-9EF4C3C4-07DA-4983-B88F-ACBEA724F3B9
John Grady,Lab,Glasgow East,Neutral or unclear,,11:44:45,2026-09-04T10:44:45Z,2026-09-04T10:53:23Z,518,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-98732A17-D127-41E0-948C-15A321FF3D09
Tracy Gilbert,Lab,Edinburgh North and Leith,Neutral or unclear,,11:55:10,2026-09-04T10:55:10Z,2026-09-04T11:01:27Z,377,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-B78C1065-46EF-4A41-B301-CF654655F0E7
Tracy Gilbert,Lab,Edinburgh North and Leith,Neutral or unclear,,12:01:52,2026-09-04T11:01:52Z,2026-09-04T11:02:14Z,22,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-B78C1065-46EF-4A41-B301-CF654655F0E7
